id,question,choice_a,choice_b,choice_c,choice_d,answer,category,difficulty,year,status,reveal,source
DTN-087,Who wrote the Byrds’ “Eight Miles High” with Gene Clark and David Crosby?,Roger McGuinn,Gram Parsons,Chris Hillman,Clarence White,Roger McGuinn,Song Origins,Hard,1966,review,"The song is credited to Gene Clark, Jim McGuinn (later Roger), and David Crosby.",
DTN-088,Which jazz musician strongly influenced the guitar approach on “Eight Miles High”?,Miles Davis,John Coltrane,Thelonious Monk,Charles Mingus,John Coltrane,Hidden Connections,Medium,1966,review,McGuinn has cited Coltrane as a key influence on the song’s spiraling guitar language.,
DTN-089,Which country-rock pioneer joined the Byrds for Sweetheart of the Rodeo?,Gram Parsons,Doug Sahm,Gene Clark,Stephen Stills,Gram Parsons,Lineups,Easy,1968,review,Gram Parsons helped push the Byrds decisively toward country music.,
DTN-090,What band did Gram Parsons form with Chris Hillman after leaving the Byrds?,Manassas,The Flying Burrito Brothers,New Riders of the Purple Sage,Poco,The Flying Burrito Brothers,Connections,Medium,1968,review,Parsons and Hillman carried their country-rock ideas into the Flying Burrito Brothers.,
DTN-091,Who sang harmony with Gram Parsons on his solo albums GP and Grievous Angel?,Bonnie Raitt,Emmylou Harris,Linda Ronstadt,Joni Mitchell,Emmylou Harris,Personnel,Medium,1973,review,Parsons helped introduce Emmylou Harris to a wider rock audience through their duets.,
DTN-092,Which guitarist played with John Mayall’s Bluesbreakers before forming Fleetwood Mac?,Peter Green,Paul Kossoff,Alvin Lee,Mick Taylor,Peter Green,Connections,Medium,1967,review,Peter Green followed Eric Clapton through Mayall’s band before forming Fleetwood Mac.,
DTN-093,Which Fleetwood Mac founder wrote the instrumental “Albatross”?,Jeremy Spencer,Mick Fleetwood,Peter Green,Danny Kirwan,Peter Green,Song Origins,Medium,1968,review,Peter Green wrote Fleetwood Mac’s dreamy instrumental chart-topper.,
DTN-094,"Which Fleetwood Mac song later inspired part of the Beatles’ “Sun King” sound, according to George Harrison?",Man of the World,Black Magic Woman,Oh Well,Albatross,Albatross,Hidden Connections,Hard,1969,review,Harrison explicitly connected the languid guitar atmosphere of “Sun King” to Fleetwood Mac’s “Albatross.”,
DTN-095,Who played the famous guitar solo on the Carpenters’ “Goodbye to Love”?,Larry Carlton,Glen Campbell,Dean Parks,Tony Peluso,Tony Peluso,Personnel,Hard,1972,review,Tony Peluso’s fuzz-guitar solo was startlingly heavy for a Carpenters single.,
DTN-096,Which guitarist played the solo on Christopher Cross’s “Ride Like the Wind”?,Lee Ritenour,Larry Carlton,Steve Lukather,Jay Graydon,Larry Carlton,Personnel,Hard,1980,review,Larry Carlton supplied the guitar solo on the recording.,
DTN-097,Which guitarist played the solo on Steely Dan’s “Peg”?,Larry Carlton,Elliott Randall,Dean Parks,Jay Graydon,Jay Graydon,Personnel,Hard,1977,review,"After multiple players tried the part, Jay Graydon’s solo made the final record.",
DTN-098,Which drummer played the famous half-time shuffle on Steely Dan’s “Home at Last”?,Jeff Porcaro,Steve Gadd,Bernard Purdie,Jim Keltner,Bernard Purdie,Personnel,Hard,1977,review,Bernard Purdie’s groove is a classic example of the Purdie shuffle.,
DTN-099,Which drummer played on Paul Simon’s “50 Ways to Leave Your Lover”?,Bernard Purdie,Steve Gadd,Jeff Porcaro,Jim Keltner,Steve Gadd,Personnel,Medium,1975,review,Steve Gadd created the instantly recognizable military-flavored drum pattern.,
DTN-100,Who played drums on Toto’s “Rosanna”?,Jeff Porcaro,Bernard Purdie,Jim Gordon,Steve Gadd,Jeff Porcaro,Personnel,Medium,1982,review,Jeff Porcaro’s groove blended shuffle influences into one of pop’s most studied drum parts.,
